flight_id,anomaly_type,timestamp,latitude,longitude,altitude,ground_speed,vertical_speed,heading
FLT0001,Normal,2025-01-01T12:00:00,48.50496714153011,2.202504928503459,7875.650748361689,385,-376,172
FLT0001,Normal,2025-01-01T12:00:20,48.512040175780236,2.2168873008869165,7915.972843970455,392,644,54
FLT0001,Normal,2025-01-01T12:00:40,48.533322522964895,2.220045390368108,8112.094040768489,474,135,228
FLT0001,Normal,2025-01-01T12:01:00,48.55549875493992,2.2425909933474495,8091.55553981502,485,-719,163
FLT0001,Normal,2025-01-01T12:01:20,48.55134974142055,2.256621999900772,7996.864760905378,393,763,159
FLT0001,Normal,2025-01-01T12:01:40,48.56477272439024,2.259970579779468,8017.599107496318,416,-458,145
FLT0001,Normal,2025-01-01T12:02:00,48.59632904090675,2.2991946578631253,8191.649734368264,327,432,147
FLT0001,Normal,2025-01-01T12:02:20,48.601634078835154,2.2986980607527423,7911.264291674625,445,302,202
FLT0001,Normal,2025-01-01T12:02:40,48.602687806476226,2.295469515363544,8082.064607175505,274,-300,265
FLT0001,Normal,2025-01-01T12:03:00,48.62623096956337,2.327370905213855,7969.671102134916,349,227,193
FLT0001,Normal,2025-01-01T12:03:20,48.62959401099134,2.32448137121719,7967.347819515917,322,35,281
FLT0001,Normal,2025-01-01T12:03:40,48.642993709175705,2.355521852748834,8164.816527798079,361,542,145
FLT0001,Normal,2025-01-01T12:04:00,48.66349344821902,2.3726597812934296,8123.812452348205,371,-319,307
FLT0001,Normal,2025-01-01T12:04:20,48.655363841848725,2.366289821111785,8122.026445400095,376,323,193
FLT0001,Normal,2025-01-01T12:04:40,48.67067028476212,2.397553224379692,8195.82182107315,346,-12,79
FLT0001,Normal,2025-01-01T12:05:00,48.69571940658678,2.4054700911485596,8003.150576244914,287,-592,125
FLT0001,Normal,2025-01-01T12:05:20,48.7046367894678,2.4229857022710863,8102.292945694245,268,243,11
FLT0001,Normal,2025-01-01T12:05:40,48.73133039278904,2.4471558492896266,7953.459986510981,230,678,29
FLT0001,Normal,2025-01-01T12:06:00,48.73253049749982,2.4391568570950053,8048.624952873266,430,-799,234
FLT0001,Normal,2025-01-01T12:06:20,48.74091052003362,2.447496195403405,7980.478541844847,439,326,203
FLT0001,Normal,2025-01-01T12:06:40,48.78311286352814,2.459561231542671,8014.549394748908,215,-680,156
FLT0001,Normal,2025-01-01T12:07:00,48.77962143162601,2.473721091781218,8089.273553815537,300,518,96
FLT0001,Normal,2025-01-01T12:07:20,48.7959772954697,2.494530996328678,7877.266897514979,338,-176,39
FLT0001,Normal,2025-01-01T12:07:40,48.79447735035263,2.512136351962932,8313.858091352819,382,424,316
FLT0001,Normal,2025-01-01T12:08:00,48.81670382376146,2.524914559000012,7849.097392775045,258,-667,140
FLT0001,Normal,2025-01-01T12:08:20,48.83667969569576,2.5438423022890184,7817.871708081841,350,231,266
FLT0001,Normal,2025-01-01T12:08:40,48.837483352816385,2.549123307509383,8173.71663102501,396,193,63
FLT0001,Normal,2025-01-01T12:09:00,48.866173087566004,2.576951448154124,8118.74940409444,417,537,190
FLT0001,Normal,2025-01-01T12:09:20,48.86983253927531,2.573192357842117,8093.617972557823,230,-590,36
FLT0001,Normal,2025-01-01T12:09:40,48.886344807468504,2.6164634366323396,8094.251826389642,305,308,99
FLT0001,Normal,2025-01-01T12:10:00,48.896667497636095,2.6089412372360394,7998.162984072963,381,566,197
FLT0001,Normal,2025-01-01T12:10:20,48.93463016439543,2.607535806986173,7865.411844277125,445,649,27
FLT0001,Normal,2025-01-01T12:10:40,48.9293952290949,2.618821276361671,8011.370683729059,275,-78,127
FLT0001,Normal,2025-01-01T12:11:00,48.93237591084467,2.6477777442866604,7898.425743273183,269,-380,323
FLT0001,Normal,2025-01-01T12:11:20,48.96460128804721,2.654141211072916,8146.267960012663,425,563,315
FLT0001,Normal,2025-01-01T12:11:40,48.95759022121841,2.6769386626590417,7977.941392774679,428,-310,134
FLT0001,Normal,2025-01-01T12:12:00,48.98531011246011,2.687953852755803,7876.175420481123,265,-320,87
FLT0001,Normal,2025-01-01T12:12:20,48.977047594063215,2.695916006175445,7951.792123752051,500,40,48
FLT0001,Normal,2025-01-01T12:12:40,48.99678525360497,2.701599176913276,8061.939718141343,450,251,325
FLT0001,Normal,2025-01-01T12:13:00,49.0254585452446,2.7083414606390477,7915.441317079404,284,-635,99
FLT0001,Normal,2025-01-01T12:13:20,49.04429741747781,2.7324476021571824,7876.666940665035,440,-158,254
FLT0001,Normal,2025-01-01T12:13:40,49.052049253281695,2.7588995584130336,8036.553081723787,244,-70,212
FLT0001,Normal,2025-01-01T12:14:00,49.06260190643786,2.7658993267030474,8036.744985666309,341,144,338
FLT0001,Normal,2025-01-01T12:14:20,49.074170171097805,2.7647238202665716,7923.95852369433,453,787,229
FLT0001,Normal,2025-01-01T12:14:40,49.07581880694197,2.7923358361041495,7929.344254157251,332,576,248
FLT0001,Normal,2025-01-01T12:15:00,49.09682840355364,2.8078800194348728,8034.807490603645,404,605,301
FLT0001,Normal,2025-01-01T12:15:20,49.11284327671993,2.808611090067519,7782.787348775401,452,-689,61
FLT0001,Normal,2025-01-01T12:15:40,49.14144370548366,2.832409734280932,7788.880433843517,430,-728,38
FLT0001,Normal,2025-01-01T12:16:00,49.14773148490911,2.844877389197883,7892.233366812135,235,-217,360
FLT0001,Normal,2025-01-01T12:16:20,49.140087719251746,2.846288417827063,7967.982927243223,395,602,135
